condition,failure_modes,image_id,input_path,metric_ab_mse,metric_chroma_p99,metric_ciede2000,metric_colorfulness,metric_colorfulness_gap,metric_edge_bleeding,metric_global_cast,metric_halo_energy,metric_implausible_hue_frac,metric_mean_chroma,metric_psnr,metric_region_inconsistency,metric_ssim,metric_stability_ab_shift,n_findings,output_path,variant,worst_severity
complex_lighting,global_color_cast|low_fidelity,portrait,outputs/sample_run/images/portrait__gamma_high__input.png,1387.56494140625,29.81596565246582,34.777767181396484,38.64429473876953,73.30288696289062,1.5038481950759888,0.7901827692985535,1.5288543701171875,0.0,26.167335510253906,10.114490236158588,8.748836517333984,0.5180301920210312,2.6922242641448975,2,outputs/sample_run/images/portrait__gamma_high.png,gamma_high,severe
complex_lighting,halo|instability|low_fidelity,portrait,outputs/sample_run/images/portrait__underexpose__input.png,629.9210815429688,29.716821670532227,31.57361602783203,50.078121185302734,61.86906051635742,1.803770661354065,0.46898943185806274,5.705766677856445,0.0,18.534334182739258,9.130482179099635,29.333576202392578,0.3205396119210554,26.609073638916016,3,outputs/sample_run/images/portrait__underexpose.png,underexpose,severe
complex_lighting,global_color_cast|low_fidelity,portrait,outputs/sample_run/images/portrait__overexpose__input.png,1096.109130859375,29.81596565246582,33.83082580566406,33.981040954589844,77.96614074707031,1.1400357484817505,0.7512122988700867,1.6865692138671875,0.0,20.883047103881836,10.206220989840254,7.633437156677246,0.5334618024647653,6.303163528442383,2,outputs/sample_run/images/portrait__overexpose.png,overexpose,severe
complex_lighting,instability|low_fidelity,portrait,outputs/sample_run/images/portrait__backlight__input.png,1280.3563232421875,29.79640007019043,34.378135681152344,57.6157341003418,54.33144760131836,1.8427187204360962,0.15005625784397125,1.88923978805542,0.0,18.524423599243164,9.853193732772707,33.28276062011719,0.444911343837465,20.992481231689453,2,outputs/sample_run/images/portrait__backlight.png,backlight,severe
complex_lighting,color_bleeding|instability|low_fidelity,portrait,outputs/sample_run/images/portrait__harsh_shadow__input.png,809.4932250976562,29.811573028564453,26.516014099121094,69.07709503173828,42.870086669921875,4.328377723693848,0.2915405333042145,1.7690249681472778,0.0,24.492164611816406,11.097664725012113,12.944437026977539,0.44565118070897586,12.979092597961426,3,outputs/sample_run/images/portrait__harsh_shadow.png,harsh_shadow,severe
complex_lighting,global_color_cast|low_fidelity,portrait,outputs/sample_run/images/portrait__clip_highlights__input.png,1419.19140625,29.82019805908203,28.690494537353516,25.30483627319336,86.6423454284668,1.272262454032898,0.9598721265792847,1.573682427406311,0.0,29.00868797302246,11.523435696075403,0.7357824444770813,0.55264148379106,0.0,2,outputs/sample_run/images/portrait__clip_highlights.png,clip_highlights,severe
fine_texture,global_color_cast|low_fidelity,portrait,outputs/sample_run/images/portrait__blur__input.png,1414.3345947265625,29.811573028564453,28.879825592041016,23.90753936767578,88.03964233398438,1.03334379196167,0.9888320565223694,0.4485796391963959,0.0,29.58258819580078,11.49937952168236,0.047683920711278915,0.3694575045988316,0.5638852715492249,2,outputs/sample_run/images/portrait__blur.png,blur,severe
fine_texture,global_color_cast|low_fidelity,portrait,outputs/sample_run/images/portrait__down_up_4x__input.png,1414.33447265625,29.811573028564453,28.87990951538086,23.92276382446289,88.02441787719727,1.2428048849105835,0.9889519214630127,0.49710655212402344,0.0,29.587371826171875,11.497346698667139,0.051507338881492615,0.371222916576143,0.5617871880531311,2,outputs/sample_run/images/portrait__down_up_4x.png,down_up_4x,severe
fine_texture,global_color_cast|low_fidelity,portrait,outputs/sample_run/images/portrait__noise__input.png,1431.20458984375,29.82019805908203,28.964088439941406,31.217151641845703,80.73003005981445,1.201321005821228,0.8299400210380554,1.844627857208252,0.0,25.564861297607422,11.401887674981799,8.1851224899292,0.31074705350974086,2.3636181354522705,2,outputs/sample_run/images/portrait__noise.png,noise,severe
fine_texture,color_bleeding|global_color_cast|low_fidelity,portrait,outputs/sample_run/images/portrait__jpeg_q15__input.png,1406.416748046875,29.668806076049805,28.849416732788086,24.0683650970459,87.87881660461426,2029757.75,0.9776865839958191,1.0034093856811523,0.0,29.45816993713379,11.495214748113558,0.29551735520362854,0.36713195875477234,0.6248185038566589,3,outputs/sample_run/images/portrait__jpeg_q15.png,jpeg_q15,severe
out_of_domain,global_color_cast,portrait,outputs/sample_run/images/portrait__negative__input.png,,29.81596565246582,,25.637248992919922,,1.0935429334640503,0.9882362484931946,1.6115883588790894,0.0,29.528005599975586,,0.0892861932516098,,,1,outputs/sample_run/images/portrait__negative.png,negative,severe
out_of_domain,color_bleeding,portrait,outputs/sample_run/images/portrait__posterize__input.png,,29.388296127319336,,54.809837341308594,,18375112.0,0.4811117947101593,2.436836004257202,0.0,19.877065658569336,,2.4906959533691406,,,1,outputs/sample_run/images/portrait__posterize.png,posterize,severe
out_of_domain,desaturation|global_color_cast|halo,portrait,outputs/sample_run/images/portrait__sketch__input.png,,6.566866397857666,,8.531417846679688,,1.1437805891036987,0.7868536114692688,7.479404449462891,0.0,5.575299263000488,,2.099940061569214,,,3,outputs/sample_run/images/portrait__sketch.png,sketch,severe
out_of_domain,,portrait,outputs/sample_run/images/portrait__clahe_extreme__input.png,,21.743896484375,,22.797645568847656,,1.2105915546417236,0.6648269891738892,3.1276278495788574,0.0,11.095958709716797,,23.4854736328125,,,0,outputs/sample_run/images/portrait__clahe_extreme.png,clahe_extreme,none
semantic_boundary,color_bleeding,boundary_chart,outputs/sample_run/images/boundary_chart__input.png,,29.884321212768555,,58.259151458740234,,21.5056209564209,0.4386059641838074,4.164566993713379,0.0,20.343040466308594,,19.039052963256836,,,1,outputs/sample_run/images/boundary_chart__pred.png,synthetic_chart,severe
